Archive_Date,Specialty_HIPE,Specialty_Name,Case_Type,Adult_Child,Age_Profile,Time_Bands,Total
1/31/2021,0,Small Volume Specialities,Day Case,Child,0-15,  3-6 Months,2
1/31/2021,0,Small Volume Specialities,Day Case,Child,0-15,  9-12 Months,1
1/31/2021,0,Small Volume Specialities,Day Case,Child,0-15,18+ Months,1
1/31/2021,0,Small Volume Specialities,Day Case,Child,16-64,  6-9 Months,1
1/31/2021,0,Small Volume Specialities,Inpatient,Child,0-15,  0-3 Months,3
1/31/2021,0,Small Volume Specialities,Inpatient,Child,0-15,  9-12 Months,1
1/31/2021,0,Small Volume Specialities,Inpatient,Child,0-15, 12-15 Months,2
1/31/2021,0,Small Volume Specialities,Inpatient,Child,0-15, 15-18 Months,1
1/31/2021,0,Small Volume Specialities,Inpatient,Child,0-15,18+ Months,1
1/31/2021,0,Small Volume Specialities,Inpatient,Child,16-64, 12-15 Months,1
1/31/2021,601,Paediatric ENT,Day Case,Child,0-15,  0-3 Months,144
1/31/2021,601,Paediatric ENT,Day Case,Child,0-15,  3-6 Months,66
1/31/2021,601,Paediatric ENT,Day Case,Child,0-15,  6-9 Months,8
1/31/2021,601,Paediatric ENT,Day Case,Child,0-15,  9-12 Months,20
1/31/2021,601,Paediatric ENT,Day Case,Child,0-15, 12-15 Months,27
1/31/2021,601,Paediatric ENT,Day Case,Child,0-15, 15-18 Months,10
1/31/2021,601,Paediatric ENT,Day Case,Child,0-15,18+ Months,16
1/31/2021,601,Paediatric ENT,Day Case,Child,16-64,  0-3 Months,3
1/31/2021,601,Paediatric ENT,Day Case,Child,16-64,  3-6 Months,1
1/31/2021,601,Paediatric ENT,Day Case,Child,16-64, 12-15 Months,2
1/31/2021,601,Paediatric ENT,Day Case,Child,16-64, 15-18 Months,2
1/31/2021,601,Paediatric ENT,Day Case,Child,16-64,18+ Months,1
1/31/2021,601,Paediatric ENT,Inpatient,Child,0-15,  0-3 Months,79
1/31/2021,601,Paediatric ENT,Inpatient,Child,0-15,  3-6 Months,139
1/31/2021,601,Paediatric ENT,Inpatient,Child,0-15,  6-9 Months,74
1/31/2021,601,Paediatric ENT,Inpatient,Child,0-15,  9-12 Months,43
1/31/2021,601,Paediatric ENT,Inpatient,Child,0-15, 12-15 Months,53
1/31/2021,601,Paediatric ENT,Inpatient,Child,0-15, 15-18 Months,37
1/31/2021,601,Paediatric ENT,Inpatient,Child,0-15,18+ Months,54
1/31/2021,601,Paediatric ENT,Inpatient,Child,16-64,  0-3 Months,3
1/31/2021,601,Paediatric ENT,Inpatient,Child,16-64,  3-6 Months,4
1/31/2021,601,Paediatric ENT,Inpatient,Child,16-64,  6-9 Months,1
1/31/2021,601,Paediatric ENT,Inpatient,Child,16-64,  9-12 Months,6
1/31/2021,601,Paediatric ENT,Inpatient,Child,16-64, 12-15 Months,4
1/31/2021,601,Paediatric ENT,Inpatient,Child,16-64, 15-18 Months,4
1/31/2021,601,Paediatric ENT,Inpatient,Child,16-64,18+ Months,3
1/31/2021,1302,Paediatric Neurology,Day Case,Child,0-15,  0-3 Months,3
1/31/2021,1302,Paediatric Neurology,Day Case,Child,0-15,  6-9 Months,2
1/31/2021,1302,Paediatric Neurology,Inpatient,Child,0-15,  0-3 Months,3
1/31/2021,1302,Paediatric Neurology,Inpatient,Child,0-15,  3-6 Months,2
1/31/2021,1302,Paediatric Neurology,Inpatient,Child,0-15,  6-9 Months,1
1/31/2021,1302,Paediatric Neurology,Inpatient,Child,0-15,  9-12 Months,2
1/31/2021,1302,Paediatric Neurology,Inpatient,Child,0-15, 12-15 Months,4
1/31/2021,1302,Paediatric Neurology,Inpatient,Child,0-15, 15-18 Months,3
1/31/2021,1402,Paediatric Neurosurgery,Day Case,Child,0-15,  0-3 Months,3
1/31/2021,1402,Paediatric Neurosurgery,Day Case,Child,0-15,  6-9 Months,1
1/31/2021,1402,Paediatric Neurosurgery,Day Case,Child,0-15,  9-12 Months,1
1/31/2021,1402,Paediatric Neurosurgery,Day Case,Child,0-15,18+ Months,2
1/31/2021,1402,Paediatric Neurosurgery,Inpatient,Child,0-15,  0-3 Months,18
1/31/2021,1402,Paediatric Neurosurgery,Inpatient,Child,0-15,  3-6 Months,3
1/31/2021,1402,Paediatric Neurosurgery,Inpatient,Child,0-15,  6-9 Months,2
1/31/2021,1402,Paediatric Neurosurgery,Inpatient,Child,0-15,  9-12 Months,1
1/31/2021,1402,Paediatric Neurosurgery,Inpatient,Child,0-15,18+ Months,3
1/31/2021,1402,Paediatric Neurosurgery,Inpatient,Child,16-64,  3-6 Months,1
1/31/2021,1402,Paediatric Neurosurgery,Inpatient,Child,16-64,  6-9 Months,1
1/31/2021,1700,Ophthalmology,Day Case,Child,0-15,  0-3 Months,104
1/31/2021,1700,Ophthalmology,Day Case,Child,0-15,  3-6 Months,70
1/31/2021,1700,Ophthalmology,Day Case,Child,0-15,  6-9 Months,37
1/31/2021,1700,Ophthalmology,Day Case,Child,0-15,  9-12 Months,48
1/31/2021,1700,Ophthalmology,Day Case,Child,0-15, 12-15 Months,55
1/31/2021,1700,Ophthalmology,Day Case,Child,0-15, 15-18 Months,21
1/31/2021,1700,Ophthalmology,Day Case,Child,0-15,18+ Months,31
1/31/2021,1700,Ophthalmology,Day Case,Child,16-64,  0-3 Months,2
1/31/2021,1700,Ophthalmology,Day Case,Child,16-64,  3-6 Months,3
1/31/2021,1700,Ophthalmology,Day Case,Child,16-64,  9-12 Months,3
1/31/2021,1700,Ophthalmology,Day Case,Child,16-64, 12-15 Months,3
1/31/2021,1700,Ophthalmology,Day Case,Child,16-64, 15-18 Months,1
1/31/2021,1700,Ophthalmology,Inpatient,Child,0-15,  0-3 Months,4
1/31/2021,1700,Ophthalmology,Inpatient,Child,0-15,  3-6 Months,3
1/31/2021,1700,Ophthalmology,Inpatient,Child,0-15,  6-9 Months,2
1/31/2021,1700,Ophthalmology,Inpatient,Child,0-15, 12-15 Months,1
1/31/2021,1700,Ophthalmology,Inpatient,Child,0-15, 15-18 Months,3
1/31/2021,1700,Ophthalmology,Inpatient,Child,0-15,18+ Months,2
1/31/2021,1802,Paed Orthopaedic,Day Case,Child,0-15,  0-3 Months,99
1/31/2021,1802,Paed Orthopaedic,Day Case,Child,0-15,  3-6 Months,67
1/31/2021,1802,Paed Orthopaedic,Day Case,Child,0-15,  6-9 Months,26
1/31/2021,1802,Paed Orthopaedic,Day Case,Child,0-15,  9-12 Months,38
1/31/2021,1802,Paed Orthopaedic,Day Case,Child,0-15, 12-15 Months,52
1/31/2021,1802,Paed Orthopaedic,Day Case,Child,0-15, 15-18 Months,20
1/31/2021,1802,Paed Orthopaedic,Day Case,Child,0-15,18+ Months,51
1/31/2021,1802,Paed Orthopaedic,Day Case,Child,16-64,  0-3 Months,5
1/31/2021,1802,Paed Orthopaedic,Day Case,Child,16-64,  3-6 Months,6
1/31/2021,1802,Paed Orthopaedic,Day Case,Child,16-64,  6-9 Months,2
1/31/2021,1802,Paed Orthopaedic,Day Case,Child,16-64,  9-12 Months,8
1/31/2021,1802,Paed Orthopaedic,Day Case,Child,16-64, 12-15 Months,7
1/31/2021,1802,Paed Orthopaedic,Day Case,Child,16-64, 15-18 Months,5
1/31/2021,1802,Paed Orthopaedic,Day Case,Child,16-64,18+ Months,33
1/31/2021,1802,Paed Orthopaedic,Inpatient,Child,0-15,  0-3 Months,121
1/31/2021,1802,Paed Orthopaedic,Inpatient,Child,0-15,  3-6 Months,126
1/31/2021,1802,Paed Orthopaedic,Inpatient,Child,0-15,  6-9 Months,57
1/31/2021,1802,Paed Orthopaedic,Inpatient,Child,0-15,  9-12 Months,70
1/31/2021,1802,Paed Orthopaedic,Inpatient,Child,0-15, 12-15 Months,80
1/31/2021,1802,Paed Orthopaedic,Inpatient,Child,0-15, 15-18 Months,55
1/31/2021,1802,Paed Orthopaedic,Inpatient,Child,0-15,18+ Months,159
1/31/2021,1802,Paed Orthopaedic,Inpatient,Child,16-64,  0-3 Months,3
1/31/2021,1802,Paed Orthopaedic,Inpatient,Child,16-64,  3-6 Months,12
1/31/2021,1802,Paed Orthopaedic,Inpatient,Child,16-64,  6-9 Months,2
1/31/2021,1802,Paed Orthopaedic,Inpatient,Child,16-64,  9-12 Months,9
1/31/2021,1802,Paed Orthopaedic,Inpatient,Child,16-64, 12-15 Months,12
1/31/2021,1802,Paed Orthopaedic,Inpatient,Child,16-64, 15-18 Months,5
1/31/2021,1802,Paed Orthopaedic,Inpatient,Child,16-64,18+ Months,26
1/31/2021,1900,Paediatrics,Day Case,Child,0-15,  0-3 Months,9
1/31/2021,1900,Paediatrics,Day Case,Child,0-15,  3-6 Months,9
1/31/2021,1900,Paediatrics,Day Case,Child,0-15,  6-9 Months,2
1/31/2021,1900,Paediatrics,Day Case,Child,0-15,  9-12 Months,3
1/31/2021,1900,Paediatrics,Day Case,Child,0-15, 12-15 Months,5
1/31/2021,1900,Paediatrics,Day Case,Child,0-15, 15-18 Months,1
1/31/2021,1900,Paediatrics,Day Case,Child,0-15,18+ Months,3
1/31/2021,1900,Paediatrics,Inpatient,Child,0-15,  0-3 Months,2
1/31/2021,1900,Paediatrics,Inpatient,Child,0-15,  3-6 Months,3
1/31/2021,1900,Paediatrics,Inpatient,Child,0-15,  9-12 Months,4
1/31/2021,1900,Paediatrics,Inpatient,Child,0-15, 12-15 Months,3
1/31/2021,1900,Paediatrics,Inpatient,Child,0-15, 15-18 Months,1
1/31/2021,1900,Paediatrics,Inpatient,Child,0-15,18+ Months,2
1/31/2021,1900,Paediatrics,Inpatient,Child,16-64,  6-9 Months,1
