Archive_Date,Specialty_HIPE,Speciality,Adult_Child,Age_Profile,Time_Bands,Total
1/31/2021,601,Paediatric ENT,Child,0-15, 6-9 Months,292
1/31/2021,1302,Paediatric Neurology,Child,0-15,15-18 Months,22
1/31/2021,1302,Paediatric Neurology,Child,16-64,18 Months +,16
1/31/2021,1503,Gynaecology,Child,0-15, 0-3 Months,62
1/31/2021,1503,Gynaecology,Child,0-15, 6-9 Months,37
1/31/2021,1503,Gynaecology,Child,0-15, 9-12 Months,31
1/31/2021,1503,Gynaecology,Child,16-64, 3-6 Months,6
1/31/2021,1503,Gynaecology,Child,16-64,12-15 Months,1
1/31/2021,1700,Ophthalmology,Child,0-15,15-18 Months,223
1/31/2021,1700,Ophthalmology,Child,16-64,18 Months +,125
1/31/2021,1802,Paed Orthopaedic,Child,0-15,15-18 Months,377
1/31/2021,1802,Paed Orthopaedic,Child,0-15,18 Months +,1103
1/31/2021,1802,Paed Orthopaedic,Child,16-64, 0-3 Months,17
1/31/2021,1802,Paed Orthopaedic,Child,16-64, 9-12 Months,18
1/31/2021,1900,Paediatrics,Child,0-15,15-18 Months,107
1/31/2021,1900,Paediatrics,Child,16-64, 0-3 Months,15
1/31/2021,1900,Paediatrics,Child,16-64,15-18 Months,4
1/31/2021,1900,Paediatrics,Child,16-64,18 Months +,35
1/31/2021,1902,Paed Cardiology,Child,0-15, 0-3 Months,702
1/31/2021,1902,Paed Cardiology,Child,0-15, 3-6 Months,554
1/31/2021,1902,Paed Cardiology,Child,0-15,12-15 Months,104
1/31/2021,1902,Paed Cardiology,Child,16-64, 0-3 Months,23
1/31/2021,1902,Paed Cardiology,Child,16-64, 6-9 Months,26
1/31/2021,1902,Paed Cardiology,Child,16-64, 9-12 Months,20
1/31/2021,1902,Paed Cardiology,Child,16-64,12-15 Months,9
1/31/2021,1905,Paed Endocrinology,Child,16-64,15-18 Months,10
1/31/2021,1906,Paed Gastro-Enterol,Child,16-64,15-18 Months,6
1/31/2021,1907,Paed Haematology,Child,0-15, 6-9 Months,28
1/31/2021,1910,Paed Metabolic Medicine,Child,16-64,18 Months +,2
1/31/2021,1911,Paed Nephrology,Child,0-15, 6-9 Months,59
1/31/2021,1911,Paed Nephrology,Child,0-15, 9-12 Months,48
1/31/2021,1911,Paed Nephrology,Child,0-15,18 Months +,41
1/31/2021,1911,Paed Nephrology,Child,16-64, 0-3 Months,2
1/31/2021,1911,Paed Nephrology,Child,16-64, 3-6 Months,1
1/31/2021,1911,Paed Nephrology,Child,16-64, 9-12 Months,3
1/31/2021,1911,Paed Nephrology,Child,16-64,12-15 Months,2
1/31/2021,1912,Paediatric Respiratory Medicine,Child,0-15,15-18 Months,170
1/31/2021,1912,Paediatric Respiratory Medicine,Child,16-64,15-18 Months,11
1/31/2021,1915,Paediatric Dermatology,Child,0-15, 0-3 Months,697
1/31/2021,1915,Paediatric Dermatology,Child,0-15, 6-9 Months,325
1/31/2021,1915,Paediatric Dermatology,Child,0-15, 9-12 Months,310
1/31/2021,1915,Paediatric Dermatology,Child,16-64, 3-6 Months,14
1/31/2021,1915,Paediatric Dermatology,Child,16-64, 6-9 Months,18
1/31/2021,1915,Paediatric Dermatology,Child,16-64,12-15 Months,21
1/31/2021,1916,Developmental Paediatrics,Child,0-15, 6-9 Months,30
1/31/2021,2000,Plastic Surgery,Child,16-64,15-18 Months,10
1/31/2021,2000,Plastic Surgery,Child,16-64,18 Months +,37
1/31/2021,2102,Child/Adolescent Psychiatry,Child,16-64, 0-3 Months,4
1/31/2021,2500,Rheumatology,Child,0-15, 0-3 Months,118
1/31/2021,2500,Rheumatology,Child,0-15, 9-12 Months,74
1/31/2021,2500,Rheumatology,Child,0-15,18 Months +,552
1/31/2021,2500,Rheumatology,Child,16-64, 0-3 Months,4
1/31/2021,601,Paediatric ENT,Child,0-15, 0-3 Months,603
1/31/2021,601,Paediatric ENT,Child,0-15, 3-6 Months,458
1/31/2021,601,Paediatric ENT,Child,0-15,12-15 Months,676
1/31/2021,601,Paediatric ENT,Child,0-15,15-18 Months,560
1/31/2021,601,Paediatric ENT,Child,16-64, 6-9 Months,9
1/31/2021,601,Paediatric ENT,Child,16-64,15-18 Months,26
1/31/2021,1302,Paediatric Neurology,Child,0-15,18 Months +,104
1/31/2021,1302,Paediatric Neurology,Child,16-64, 0-3 Months,7
1/31/2021,1302,Paediatric Neurology,Child,16-64, 3-6 Months,3
